time,year,GDP,month,spring_festival,population,tem_avg,rhu_avg,wind_avg,sunshine,rainfall,pres_avg,PM10,NOX,PM25,SO2,NO2,O3,CO,count
248,2017,3416.87,8,0,7413.1,29.3,80,20.6,205.4,489.1,1006.3,22,96,13,9,43,27,0.54,382
249,2017,3416.87,9,0,7413.1,29,80,17.4,187.1,192.4,1009.1,31,103,21,9,53,45,0.56,374
250,2017,3416.87,10,0,7413.1,26.3,71,32.9,228.6,99.6,1012.7,38,71,23,6,44,64,0.6,329
251,2017,3416.87,11,0,7413.1,22.2,76,28.8,114.3,31.2,1016.6,42,86,26,7,51,51,0.67,378
252,2017,3416.87,12,0,7413.1,17.8,66,29.6,209.6,0,1020.6,56,97,35,9,58,59,0.82,335
253,2018,3626.82,1,0,7448.9,18.5,79,26.4,145.1,7.8,1019.8,43,99,28,7,53.5,47,0.8,381
254,2018,3626.82,2,1,7448.9,17,75,26.8,139.9,19.9,1020.5,46,111,30,7,57,45,0.88,319
255,2018,3626.82,3,0,7448.9,19.3,81,26.5,85.2,48,1016.4,39,95,24,7,52,56,0.73,423
256,2018,3626.82,4,0,7448.9,23.3,81,20.1,130.3,58.8,1013.2,43,82,24,7,46.6,50,0.61,389
257,2018,3626.82,5,0,7448.9,26,82,18.6,126,399.3,1010.5,23,81,14,7,41.6,37,0.51,399
258,2018,3626.82,6,0,7448.9,28.8,83,23,138.9,656,1006.7,22,77,13,6,41,45,0.61,427
259,2018,3626.82,7,0,7448.9,28.7,83,22.1,162.9,570,1006.8,20,68,10,6,32,28,0.54,373
260,2018,3626.82,8,0,7448.9,29.3,80,20.6,205.4,489.1,1006.3,25,36.6,17,7,49,91,0.69,433
261,2018,3626.82,9,0,7448.9,29,80,17.4,187.1,192.4,1009.1,31,34.1,20,8,48,90,0.62,319
262,2018,3626.82,10,0,7448.9,26.3,71,32.9,228.6,99.6,1012.7,43,33.5,25,7,53,78,0.67,412
263,2018,3626.82,11,0,7448.9,22.2,76,28.8,114.3,31.2,1016.6,37,28.4,23,6,56.5,75,0.72,420
264,2018,3626.82,12,0,7448.9,17.8,66,29.6,209.6,0,1020.6,38,23.2,23,7,49,93,0.82,339
